,title,type,release_year,rating,runtime,description,genres,cast,director,country,imdb_link,date_added
0,#realityhigh,movies,2017,TV-14,99 min,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",Comedies,"Nesta Cooper,Kate Walsh,John Michael Higgins,Keith Powers,Alicia Sanz,Jake Borelli,Kid Ink,Yousef Erakat,Rebekah Graf,Anne Winters,Peter Gilroy,Patrick Davis",Fernando Lebrija,United States,https://www.imdb.com/title/tt6119504/?ref_=plg_rt_1,"Added to Netflix:September 8, 2017"
1,13TH,movies,2016,TV-MA,101 min,"In this thought-provoking documentary, scholars, activists and politicians analyze the criminalization of African Americans and the U.S. prison boom.",Documentaries,,Ava DuVernay,United States,https://www.imdb.com/title/tt5895028/?ref_=plg_rt_1,"Added to Netflix:October 7, 2016"
2,15 August,movies,2019,TV-14,124 min,"On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.","Comedies,Dramas,Independent Movies","Rahul Pethe,Mrunmayee Deshpande,Adinath Kothare,Vaibhav Mangale,Jaywant Wadkar,Satish Pulekar,Naina Apte,Uday Tikekar",Swapnaneel Jayakar,India,https://www.imdb.com/title/tt9817300/?ref_=plg_rt_1,"Added to Netflix:March 29, 2019"
3,1922,movies,2017,TV-MA,103 min,"A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella.","Dramas,Thrillers","Thomas Jane,Molly Parker,Dylan Schmid,Kaitlyn Bernard,Bob Frazer,Brian d'Arcy James,Neal McDonough",Zak Hilditch,United States,https://www.imdb.com/title/tt6214928/?ref_=plg_rt_1,"Added to Netflix:October 20, 2017"
4,22 July,movies,2018,R,144 min,"After devastating terror attacks in Norway, a young survivor, grieving families and the country rally for justice and healing. Based on a true story.","Dramas,Thrillers","Anders Danielsen Lie,Jon Øigarden,Jonas Strand Gravli,Ola G. Furuseth,Maria Bock,Thorbjørn Harr,Jaden Smith",Paul Greengrass,"Norway,Iceland,United States",https://www.imdb.com/title/tt7280898/?ref_=plg_rt_1,"Added to Netflix:October 10, 2018"
5,4L,movies,2019,TV-MA,105 min,"Hoping to reunite with a dying friend, two longtime pals re-create their desert road trip from Spain to Mali, bringing along his estranged daughter.","Comedies,Dramas,Independent Movies","Jean Reno,Hovik Keuchkerian,Susana Abaitua,Juan Dos Santos,Arturo Valls,Enrique San Francisco,Francesc Garrido,Eric Nguyen",Gerardo Olivares,Spain,https://www.imdb.com/title/tt8242160/?ref_=plg_rt_1,"Added to Netflix:July 12, 2019"
6,5 Star Christmas,movies,2018,TV-14,96 min,"When the Italian prime minister meets his lover and political rival while on an official trip to Budapest during Christmas week, things go topsy-turvy.","Comedies,International Movies","Massimo Ghini,Ricky Memphis,Martina Stella,Ralph Palka,Biagio Izzo,Riccardo Rossi,Paola Minaccioni",Marco Risi,Italy,https://www.imdb.com/title/tt8775056/?ref_=plg_rt_1,"Added to Netflix:December 7, 2018"
7,6 Balloons,movies,2018,TV-MA,75 min,A loyal sister struggles to stay afloat while driving her heroin-addicted brother to a detox center and looking after his 2-year-old daughter.,"Dramas,Independent Movies","Abbi Jacobson,Dave Franco,Jane Kaczmarek,Tim Matheson,Charlotte Carel,Madeline Carel,Maya Erskine,Dawan Owens,Jen Tullock",Marja Lewis Ryan,United States,https://www.imdb.com/title/tt6142496/?ref_=plg_rt_1,"Added to Netflix:April 6, 2018"
8,6 Underground,movies,2019,R,129 min,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.","Action & Adventure,Dramas","Ryan Reynolds,Mélanie Laurent,Corey Hawkins,Dave Franco,Adria Arjona,Manuel Garcia-Rulfo,Ben Hardy,Lior Raz,Payman Maadi,Yuri Kolokolnikov,Kim Kold",Michael Bay,United States,https://www.imdb.com/title/tt8106534/?ref_=plg_rt_1,"Added to Netflix:December 13, 2019"
9,7 años,movies,2016,TV-MA,77 min,Loyalties are tested and cruelties revealed when four business partners spend a tense evening debating who will pay for the crime they committed.,"Dramas,International Movies","Paco León,Juana Acosta,Juan Pablo Raba,Alex Brendemühl,Manuel Morón",Roger Gual,Spain,https://www.imdb.com/title/tt5517438/?ref_=plg_rt_1,"Added to Netflix:October 27, 2016"
